14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-23-106-001-0000,1017,E,63RD,ST,15667,20,WOODLAWN,PD 723,Woodlawn,"1017 E 63RD ST
CHICAGO, IL
(41.78044292800047, -87.60009000599968)"
20-23-109-002-0000,6349,S,GREENWOOD,AVE,3641,20,WOODLAWN,RT-4,Woodlawn,"6349 S GREENWOOD AVE
CHICAGO, IL
(41.779052124000486, -87.59909328199967)"
20-14-318-019-0000,6218,S,WOODLAWN,AVE,32028,20,WOODLAWN,RM-5,Woodlawn,"6218 S WOODLAWN AVE
CHICAGO, IL
(41.78187588700047, -87.59626405399968)"
20-23-115-001-0000,931,E,65TH,ST,6010,20,WOODLAWN,RT-4,Woodlawn,"931 E 65TH ST
CHICAGO, IL
(41.77677922100048, -87.60254792099965)"
20-23-204-007-0000,1418,E,63RD,PL,15441,20,WOODLAWN,RM-5,Woodlawn,"1418 E 63RD PL
CHICAGO, IL
(41.77975121100047, -87.58972227999965)"
20-23-110-038-0000,1112,E,65TH,ST,13948,20,WOODLAWN,RT-4,Woodlawn,"1112 E 65TH ST
CHICAGO, IL
(41.77687201600048, -87.59818471799969)"
20-23-121-022-0000,6000,S,DREXEL,AVE,6042,5,WOODLAWN,RT-4,Woodlawn,"6000 S DREXEL AVE
CHICAGO, IL
(41.78578133500048, -87.60448307099966)"
20-23-203-006-0000,6331,S,DORCHESTER,AVE,2537,20,WOODLAWN,PD 456,Woodlawn,"6331 S DORCHESTER AVE
CHICAGO, IL
(41.779989232000446, -87.59142826399966)"
20-23-104-016-0000,6359,S,DREXEL,AVE,2758,20,WOODLAWN,RT-4,Woodlawn,"6359 S DREXEL AVE
CHICAGO, IL
(41.7793861610005, -87.60282218299966)"
20-14-410-005-0000,6149,S,DORCHESTER,AVE,12515,20,WOODLAWN,RM-5,Woodlawn,"6149 S DORCHESTER AVE
CHICAGO, IL
(41.782641482000486, -87.59135340499967)"
20-23-117-001-0000,1035,E,65TH,ST,6108,5,WOODLAWN,RT-4,Woodlawn,"1035 E 65TH ST
CHICAGO, IL
(41.7768015150005, -87.59999830199968)"
20-23-108-008-0000,6320,S,WOODLAWN,,5582,20,WOODLAWN,PD 723,Woodlawn,"6320 S WOODLAWN
CHICAGO, IL
(41.77984950300049, -87.59622755699968)"
20-23-219-011-0000,1549,E,65,ST,6277,5,WOODLAWN,,Woodlawn,"1549 E 65 ST
CHICAGO, IL
(41.776033146000486, -87.58695053699967)"
20-23-101-031-0000,8346,S,DREXEL,AVE,6632,20,WOODLAWN,RM-5,Woodlawn,"8346 S DREXEL AVE
CHICAGO, IL
(41.743122550000464, -87.60258892599967)"
20-14-414-010-0000,6243,S,KENWOOD,AVE,6989,20,WOODLAWN,PD 456,Woodlawn,"6243 S KENWOOD AVE
CHICAGO, IL
(41.78106055100045, -87.59303343299968)"
20-23-104-032-0000,6451,S,DREXEL,AVE,12568,20,WOODLAWN,RT-4,Woodlawn,"6451 S DREXEL AVE
CHICAGO, IL
(41.777696268000454, -87.60278156499965)"
20-23-220-008-0000,1429,E,65TH,PL,6576,20,WOODLAWN,RM-5,Woodlawn,"1429 E 65TH PL
CHICAGO, IL
(41.77601186700048, -87.59030909899968)"
20-23-107-004-0000,6317,S,GREENWOOD,AVE,1076,20,WOODLAWN,PD 723,Woodlawn,"6317 S GREENWOOD AVE
CHICAGO, IL
(41.779931315000454, -87.59911402299969)"
20-23-220-003-0000,1409,E,65TH,PL,3760,20,WOODLAWN,RM-5,Woodlawn,"1409 E 65TH PL
CHICAGO, IL
(41.77600786000045, -87.59069459099965)"
20-23-220-011-0000,1441,E,65TH,PL,6317,20,WOODLAWN,RM-5,Woodlawn,"1441 E 65TH PL
CHICAGO, IL
(41.77601427200045, -87.59007780399969)"
20-23-201-023-0000,6344,S,KENWOOD,AVE,11419,20,WOODLAWN,RM-5,Woodlawn,"6344 S KENWOOD AVE
CHICAGO, IL
(41.77915006800049, -87.59306684899968)"
20-23-107-012-0000,1117,E,63RD,ST,8605,20,WOODLAWN,PD 723,Woodlawn,"1117 E 63RD ST
CHICAGO, IL
(41.780472888000475, -87.59837080199969)"
20-14-318-004-0000,6213,S,UNIVERSITY,AVE,9941,20,WOODLAWN,RM-5,Woodlawn,"6213 S UNIVERSITY AVE
CHICAGO, IL
(41.78202239400048, -87.59782467699966)"
20-23-219-014-0000,1508,E,65TH,PL,2542,5,WOODLAWN,RM-5,Woodlawn,"1508 E 65TH PL
CHICAGO, IL
(41.77608324400046, -87.58852992799967)"
20-23-105-044-0000,6338,S,ELLIS,AVE,6213,20,WOODLAWN,RT-4,Woodlawn,"6338 S ELLIS AVE
CHICAGO, IL
(41.77923072800047, -87.60046795399967)"
20-14-316-026-0000,1000,E,63RD,ST,22584,20,WOODLAWN,PD 723,Woodlawn,"1000 E 63RD ST
CHICAGO, IL
(41.78049823800046, -87.60060046699965)"
20-23-212-016-0000,6515,S,KIMBARK,AVE,8265,20,WOODLAWN,RS-2,Woodlawn,"6515 S KIMBARK AVE
CHICAGO, IL
(41.776403718000495, -87.59451360299965)"
20-23-111-007-0000,6449,S,MINERVA,AVE,4961,20,WOODLAWN,RT-4,Woodlawn,"6449 S MINERVA AVE
CHICAGO, IL
(41.777567847000455, -87.59700623699968)"
20-14-316-030-0000,6200,S,GREENWOOD,AVE,2599,20,WOODLAWN,RM-5,Woodlawn,"6200 S GREENWOOD AVE
CHICAGO, IL
(41.7822120190005, -87.5995187589997)"
20-23-113-031-0000,6542,S,DREXEL,AVE,3141,20,WOODLAWN,RT-4,Woodlawn,"6542 S DREXEL AVE
CHICAGO, IL
(41.77551000900047, -87.60342701399969)"
20-23-102-017-0000,6432,S,MARYLAND,AVE,5783,20,WOODLAWN,RT-4,Woodlawn,"6432 S MARYLAND AVE
CHICAGO, IL
(41.77790481000045, -87.60467973399966)"
20-23-110-035-0000,6450,S,MINERVA,AVE,4253,20,WOODLAWN,RT-4,Woodlawn,"6450 S MINERVA AVE
CHICAGO, IL
(41.777575439000486, -87.59708091999966)"
20-23-106-043-0000,6328,S,GREENWOOD,AVE,3636,20,WOODLAWN,RT-4,Woodlawn,"6328 S GREENWOOD AVE
CHICAGO, IL
(41.7795856730005, -87.59917826599968)"
20-23-221-021-0000,1524,E,MARQUETTE,RD,5064,5,WOODLAWN,RM-5,Woodlawn,"1524 E MARQUETTE RD
CHICAGO, IL
(41.77517543500045, -87.58785940899969)"
20-14-408-010-0000,6151,S,KIMBARK,AVE,3305,20,WOODLAWN,RM-5,Woodlawn,"6151 S KIMBARK AVE
CHICAGO, IL
(41.78324059300047, -87.59466660499965)"
20-22-207-026-0000,6326,S,COTTAGE GROVE,AVE,2935,20,WOODLAWN,B3-3,Woodlawn,"6326 S COTTAGE GROVE AVE
CHICAGO, IL
(41.77962941700048, -87.60593783599967)"
20-14-315-015-0000,6200,S,ELLIS,AVE,17991,20,WOODLAWN,RM-5,Woodlawn,"6200 S ELLIS AVE
CHICAGO, IL
(41.78206994900046, -87.60111784099968)"
20-23-100-018-0000,814,E,64TH,ST,3836,20,WOODLAWN,RM-5,Woodlawn,"814 E 64TH ST
CHICAGO, IL
(41.77861694100045, -87.60533733099965)"
20-23-103-005-0000,6415,S,MARYLAND,AVE,3720,20,WOODLAWN,RT-4,Woodlawn,"6415 S MARYLAND AVE
CHICAGO, IL
(41.7781988590005, -87.60461829699966)"
20-23-106-037-0000,1020,E,65TH,ST,5969,20,WOODLAWN,B1-2,Woodlawn,"1020 E 65TH ST
CHICAGO, IL
(41.77684984600046, -87.60025635299968)"
20-14-317-030-0000,1134,E,63RD,ST,7781,20,WOODLAWN,PD 723,Woodlawn,"1134 E 63RD ST
CHICAGO, IL
(41.78052819700048, -87.59811038599969)"
20-23-204-001-0000,6300,S,BLACKSTONE,AVE,18127,20,WOODLAWN,B3-5,Woodlawn,"6300 S BLACKSTONE AVE
CHICAGO, IL
(41.780494054000485, -87.58897152999964)"
20-23-107-007-0000,6325,S,GREENWOOD,AVE,3191,20,WOODLAWN,PD 723,Woodlawn,"6325 S GREENWOOD AVE
CHICAGO, IL
(41.77972159900048, -87.59911402299969)"
20-14-408-003-0000,6117,S,KIMBARK,AVE,8297,20,WOODLAWN,RM-5,Woodlawn,"6117 S KIMBARK AVE
CHICAGO, IL
(41.78362092100048, -87.59467428199969)"
20-23-113-036-0000,6552,S,DREXEL,AVE,6185,20,WOODLAWN,RT-4,Woodlawn,"6552 S DREXEL AVE
CHICAGO, IL
(41.775607617000446, -87.60342463899968)"
20-23-105-009-0000,6341,S,INGLESIDE,AVE,6225,20,WOODLAWN,RT-4,Woodlawn,"6341 S INGLESIDE AVE
CHICAGO, IL
(41.77967194100046, -87.60161260199965)"
20-23-100-004-0000,6315,S,COTTAGE GROVE,AVE,15592,20,WOODLAWN,PD 1234,Woodlawn,"6315 S COTTAGE GROVE AVE
CHICAGO, IL
(41.77976192900047, -87.60587330899966)"
20-14-315-019-0000,6220,S,ELLIS,AVE,8608,20,WOODLAWN,PD 1182,Woodlawn,"6220 S ELLIS AVE
CHICAGO, IL
(41.781580230000486, -87.60109709999966)"
20-23-219-016-0000,1512,E,65TH,PKWY,5040,5,WOODLAWN,RM-5,Woodlawn,"1512 E 65TH PKWY
CHICAGO, IL
(41.77696143600048, -87.58845725799966)"
20-23-105-053-0000,6404,S,ELLIS,AVE,6225,20,WOODLAWN,POS-2,Woodlawn,"6404 S ELLIS AVE
CHICAGO, IL
(41.77806456200045, -87.60043811999964)"
20-23-117-032-0000,6540,S,UNIVERSITY,AVE,6320,5,WOODLAWN,RT-4,Woodlawn,"6540 S UNIVERSITY AVE
CHICAGO, IL
(41.7755998880005, -87.59856784199968)"
20-23-109-036-0000,6458,S,UNIVERSITY,AVE,4335,20,WOODLAWN,,Woodlawn,"6458 S UNIVERSITY AVE
CHICAGO, IL
(41.77713011700047, -87.59859780199969)"
20-23-210-003-0000,6437,S,WOODLAWN,AVE,8236,20,WOODLAWN,RS-2,Woodlawn,"6437 S WOODLAWN AVE
CHICAGO, IL
(41.777612529000464, -87.59609955499968)"
20-23-213-004-0000,6411,S,KENWOOD,AVE,8248,20,WOODLAWN,RS-2,Woodlawn,"6411 S KENWOOD AVE
CHICAGO, IL
(41.77828124700045, -87.59297351299966)"
20-23-118-027-0000,6540,S,MINERVA,AVE,6284,20,WOODLAWN,RT-4,Woodlawn,"6540 S MINERVA AVE
CHICAGO, IL
(41.7755998880005, -87.59734757599966)"
20-23-114-038-0000,6556,S,INGLESIDE,AVE,6164,20,WOODLAWN,RT-4,Woodlawn,"6556 S INGLESIDE AVE
CHICAGO, IL
(41.7751401270005, -87.60220790099964)"
20-14-318-016-0000,1160,E,63RD,ST,10515,20,WOODLAWN,PD 723,Woodlawn,"1160 E 63RD ST
CHICAGO, IL
(41.78053856800045, -87.59701110999964)"
20-23-105-066-0000,6457,S,INGLESIDE,AVE,3543,20,WOODLAWN,RT-4,Woodlawn,"6457 S INGLESIDE AVE
CHICAGO, IL
(41.777644678000456, -87.60156080999968)"
20-23-101-039-0000,839,E,63RD,ST,45256,20,WOODLAWN,B3-3,Woodlawn,"839 E 63RD ST
CHICAGO, IL
(41.78040259800048, -87.60415064799969)"
20-23-104-007-0000,6331,S,DREXEL,AVE,6231,20,WOODLAWN,RT-4,Woodlawn,"6331 S DREXEL AVE
CHICAGO, IL
(41.77946118300048, -87.60282321899967)"
20-23-116-013-0000,1021,E,65TH,ST,6088,5,WOODLAWN,RT-4,Woodlawn,"1021 E 65TH ST
CHICAGO, IL
(41.77679591000049, -87.60025422899969)"
20-14-408-021-0000,6130,S,KENWOOD,AVE,8323,20,WOODLAWN,RM-5,Woodlawn,"6130 S KENWOOD AVE
CHICAGO, IL
(41.783591715000455, -87.59315867699968)"
20-23-107-009-0000,6329,S,GREENWOOD,AVE,3180,20,WOODLAWN,PD 723,Woodlawn,"6329 S GREENWOOD AVE
CHICAGO, IL
(41.77962135100046, -87.59911402299969)"
20-23-210-010-0000,6434,S,KIMBARK,AVE,8227,20,WOODLAWN,RS-2,Woodlawn,"6434 S KIMBARK AVE
CHICAGO, IL
(41.77805753600046, -87.59462734999966)"
20-23-117-016-0000,6541,S,GREENWOOD,AVE,3149,5,WOODLAWN,RT-4,Woodlawn,"6541 S GREENWOOD AVE
CHICAGO, IL
(41.7757001490005, -87.5997076009997)"
20-14-316-028-0000,1022,E,63RD,ST,5588,20,WOODLAWN,PD 723,Woodlawn,"1022 E 63RD ST
CHICAGO, IL
(41.78049823800046, -87.60002086899965)"
20-23-220-018-0000,1420,E,MARQUETTE,RD,6303,5,WOODLAWN,RM-5,Woodlawn,"1420 E MARQUETTE RD
CHICAGO, IL
(41.775158563000446, -87.59042120999965)"
20-14-409-028-0000,1364,E,62ND,ST,10390,20,WOODLAWN,RM-5,Woodlawn,"1364 E 62ND ST
CHICAGO, IL
(41.78240756800045, -87.59199061699968)"
20-23-107-017-0000,1122,E,64TH,ST,6039,20,WOODLAWN,PD 723,Woodlawn,"1122 E 64TH ST
CHICAGO, IL
(41.77932751900045, -87.59813112699965)"
20-14-412-022-0000,1200,E,63RD,ST,7168,20,WOODLAWN,PD 723,Woodlawn,"1200 E 63RD ST
CHICAGO, IL
(41.7796282650005, -87.65467013899968)"
20-23-204-005-0000,0,,,,1154,20,WOODLAWN,RM-5,Woodlawn,
20-14-311-034-0000,1120,E,62ND,ST,1786,20,WOODLAWN,RM-5,Woodlawn,"1120 E 62ND ST
CHICAGO, IL
(41.78233843100048, -87.59859088799965)"
20-14-317-027-0000,1128,E,63RD,ST,8040,20,WOODLAWN,PD 723,Woodlawn,"1128 E 63RD ST
CHICAGO, IL
(41.78052819700048, -87.59836043099966)"
20-14-317-032-0000,1106,E.,63RD,ST,6919,20,WOODLAWN,,Woodlawn,"1106 E 63RD ST
CHICAGO, IL
(41.780517827000494, -87.59898035899965)"
20-14-317-025-0000,1122,E,63RD,ST,5451,20,WOODLAWN,,Woodlawn,"1122 E 63RD ST
CHICAGO, IL
(41.780517827000494, -87.59858051699968)"
20-14-317-006-0000,6223,S,GREENWOOD,AVE,11204,20,WOODLAWN,RM-5,Woodlawn,"6223 S GREENWOOD AVE
CHICAGO, IL
(41.78167680500047, -87.59942774299964)"
20-23-106-015-0000,6347,S,ELLIS,AVE,1949,20,WOODLAWN,RT-4,Woodlawn,"6347 S ELLIS AVE
CHICAGO, IL
(41.77905097100046, -87.60038383799969)"
20-14-408-012-0000,1306,E,62ND,ST,3845,20,WOODLAWN,RM-5,Woodlawn,"1306 E 62ND ST
CHICAGO, IL
(41.78238232500047, -87.59439958999968)"
20-23-107-014-0000,1127,E,63RD,ST,16820,20,WOODLAWN,PD 723,Woodlawn,"1127 E 63RD ST
CHICAGO, IL
(41.780470771000466, -87.59819545099964)"
20-23-213-039-0000,6442,S,DORCHESTER,AVE,2710,20,WOODLAWN,RS-2,Woodlawn,"6442 S DORCHESTER AVE
CHICAGO, IL
(41.77741934000045, -87.59160575499965)"
20-23-203-015-0000,6345,S,DORCHESTER,AVE,4379,20,WOODLAWN,C1-3,Woodlawn,"6345 S DORCHESTER AVE
CHICAGO, IL
(41.77975242400049, -87.59142041099966)"
20-14-412-006-0000,6221,S,WOODLAWN,AVE,4171,20,WOODLAWN,RM-5,Woodlawn,"6221 S WOODLAWN AVE
CHICAGO, IL
(41.78170723900047, -87.59618732299964)"
